nodeId,embedding
0,"[-0.054721053689718246, -0.01772649586200714]"
1,"[-0.054765842854976654, 0.06704571098089218]"
2,"[-0.053556498140096664, -0.22180365025997162]"
3,"[-0.05360128730535507, -0.1370314508676529]"
4,"[-0.05346691608428955, 0.10865196585655212]"
5,"[-0.05351170524954796, 0.19342415034770966]"
6,"[-0.05373566225171089, 0.11728514730930328]"
7,"[-1.6681606769561768, 5.332871437072754]"
8,"[-0.05364608019590378, -0.05225924402475357]"
9,"[-0.053690869361162186, 0.03251295164227486]"
10,"[-0.05391481891274452, -0.04362605884671211]"
11,"[-0.05395961552858353, 0.04114614054560661]"
12,"[-4.041793346405029, -0.5029586553573608]"
13,"[-0.05387003347277641, -0.12839825451374054]"
14,"[-0.05409397929906845, -0.2045372724533081]"
15,"[-0.054138779640197754, -0.11976506561040878]"
16,"[-0.054004404693841934, 0.12591834366321564]"
17,"[-0.05404919758439064, 0.21069052815437317]"
18,"[-0.0557064525783062, -0.15273813903331757]"
19,"[-0.05575123429298401, -0.06796593964099884]"
20,"[-0.05561686307191849, 0.17771746218204498]"
21,"[-0.05566166341304779, -0.2375103384256363]"
22,"[-0.05588560923933983, 0.18635065853595734]"
23,"[-0.055930398404598236, -0.22887714207172394]"
24,"[-0.05579603463411331, 0.016806261613965034]"
25,"[-0.05584082379937172, 0.10157845914363861]"
26,"[-0.056064773350954056, 0.025439448654651642]"
27,"[-10.06641960144043, 11.954621315002441]"
28,"[-0.05597519874572754, -0.1441049426794052]"
29,"[-0.05601998046040535, -0.059332747012376785]"
30,"[-0.05624393746256828, -0.13547176122665405]"
31,"[-4.622459411621094, 9.980374336242676]"
32,"[-0.056154362857341766, 0.1949838399887085]"
33,"[-0.05619914457201958, -0.22024396061897278]"
34,"[-0.5681838393211365, 2.972233533859253]"
35,"[-0.055034589022397995, 0.07567889988422394]"
36,"[-0.054900217801332474, -0.17863769829273224]"
37,"[-0.05494500696659088, -0.09386550635099411]"
38,"[-0.055168960243463516, -0.17000451683998108]"
39,"[-0.05521375313401222, -0.08523230999708176]"
40,"[-0.0550793819129467, 0.16045108437538147]"
41,"[-0.05512417107820511, 0.2452232837677002]"
42,"[-0.055348124355077744, 0.16908428072929382]"
43,"[-0.05539291724562645, -0.24614351987838745]"
44,"[-0.05525854229927063, -0.00046011325321160257]"
45,"[-0.055303335189819336, 0.0843120813369751]"
46,"[-0.8522968292236328, 3.577179193496704]"
47,"[-0.05557207390666008, 0.09294527024030685]"
48,"[-0.05543769896030426, -0.16137132048606873]"
